ICAO,TIPO,NOME,MUNICIPIO,UF,LATD,LONGT,DIST,APROXIMCAO,SUPERFICIE,COMPRIMENTO,LARGURA,ORIENTACAO
SSOK,Privado,14 Bis,Londrina,PR,-23.21472222222222,-51.18444444444444,10.496194169910781,VFR Diurna/Noturna,Asfalto,1035,18,110.0
SIJQ,Privado,A2 Aviação Agrícola Ltda,Alta Floresta,MT,-10.06861111111111,-55.99527777777778,7.7972866937127945,VFR Diurna,Cascalho,1000,20,30.0
SNDH,Privado,ABA,Barreiras,BA,-12.160277777777779,-45.0225,3.840428317322671,VFR Diurna,Asfalto,1530,25,130.0
SIGN,Privado,ACGC,Mimoso de Goiás,GO,-15.045277777777777,-48.23222222222223,2.1147969468824197,VFR Diurna,Terra,1140,30,100.0
SDGA,Privado,Adecoagro,Angélica,MS,-22.03805555555556,-53.84638888888889,10.366106905513913,VFR Diurna,Terra,1000,23,170.0
SIOR,Privado,Adhemar Ribeiro,Santa Rita do Passa Quatro,SP,-21.641944444444444,-47.47,8.739176378862268,VFR Diurna,Terra,680,30,120.0
SSXN,Privado,Aéreo Amazônia,Altamira,PA,-8.298333333333334,-55.11472222222223,7.896908858636077,VFR Diurna,Piçarra,1100,50,70.0
SJTL,Privado,Aero Agrícola Gaivota,Jaguapitã,PR,-22.980277777777776,-51.54222222222222,10.358144649066626,VFR Diurna/Noturna,Asfalto,907,20,110.0
SJRT,Privado,Aero Agrícola Rio Claro,São José do Rio Claro,MT,-13.434166666666666,-56.731388888888894,7.973218530466096,VFR Diurna,Cascalho,800,22,130.0
SWDI,Privado,Aeroagrícola Solo,Paranapanema,SP,-23.447777777777777,-48.8675,10.448232709115315,VFR Diurna,Grama,600,18,70.0
SJAK,Privado,Aerobako,Sinop,MT,-11.917222222222222,-55.43444444444444,6.751831415929731,VFR Diurna,Cascalho,750,18,110.0
SJKA,Privado,Aerocampo,Campo Novo do Parecis,MT,-13.635277777777777,-57.89944444444444,9.151520841867525,VFR Diurna,Cascalho,1685,25,180.0
SJAV,Privado,Aerocéu Aviação Agrícola,Chapadão do Céu,GO,-18.38888888888889,-52.65333333333333,6.642318965133175,VFR Diurna,Terra,1017,15,20.0
SNVR,Privado,Aeroclube da Bahia,Vera Cruz,BA,-13.02138888888889,-38.68111111111111,10.088911561556763,VFR Diurna,Asfalto,1300,30,80.0
SNGS,Privado,Aeroclube de Alagoas,Maceió,AL,-9.5875,-35.757777777777775,13.452251982864949,VFR Diurna,Asfalto,800,21,140.0
SSHA,Privado,Aeroclube de Aquidauana,Aquidauana,MS,-20.480833333333333,-55.769444444444446,10.244759142701954,VFR Diurna,Cascalho,700,30,60.0
SIBK,Privado,Aeroclube de Bagé,Bagé,RS,-31.32777777777778,-54.13583333333333,19.09710987643722,VFR Diurna,Grama,570,30,110.0
SSBG,Privado,Aeroclube de Bento Gonçalves,Bento Gonçalves,RS,-29.148333333333333,-51.53638888888889,16.383576438891858,VFR Diurna,Terra,1000,30,130.0
SJWQ,Privado,Aeroclube de Birigui - CMTE Munir Djabak,Birigui,SP,-21.216666666666665,-50.30583333333333,8.358970937794249,VFR Diurna,Asfalto,900,18,130.0
SNKB,Privado,Aeroclube de Campina Grande,Campina Grande,PB,-7.178333333333334,-35.99027777777778,14.043258270605806,VFR Diurna,Cascalho,800,20,100.0
SIXE,Privado,Aeroclube de Eldorado do Sul,Eldorado do Sul,RS,-30.05027777777778,-51.44361111111111,17.2586259207632,VFR Diurna,Saibro,1600,25,110.0
SSAF,Privado,Aeroclube de Foz do Iguaçu,Santa Terezinha de Itaipu,PR,-25.369722222222222,-54.470555555555556,13.620072007772702,VFR Diurna,Grama,1000,30,150.0
SSOW,Privado,Aeroclube de Frederico Westphalen,Frederico Westphalen,RS,-27.3475,-53.40333333333333,15.077086390539046,VFR Diurna,Asfalto,900,18,110.0
SDIO,Privado,Aeroclube de Itápolis,Itápolis,SP,-21.599722222222223,-48.83277777777778,8.599951357348798,VFR Diurna/Noturna,Asfalto,1320,25,10.0
SILN,Privado,Aeroclube de Rio Negrinho,Rio Negrinho,SC,-26.32138888888889,-49.521388888888886,13.342562991845234,VFR Diurna,Asfalto,1198,22,110.0
SSKT,Privado,Aeroclube de Santa Catarina,São José,SC,-27.611944444444447,-48.67333333333333,14.612264194572154,VFR Diurna/Noturna,Asfalto,1203,18,30.0
SISG,Privado,Aeroclube de Sergipe,Aracaju,SE,-10.901388888888889,-37.08305555555556,11.873872116677433,VFR Diurna,Piçarra,500,18,140.0
SIPA,Privado,Aeroclube São José do Rio Pardo,São José do Rio Pardo,SP,-21.647222222222222,-46.92833333333333,8.8411644183108,VFR Diurna,Asfalto,1200,18,140.0
SSYS,Privado,Aero do Vale Miracatu,Miracatu,SP,-24.305555555555557,-47.503055555555555,11.376323423894988,VFR Diurna,Cascalho,500,18,80.0
SWVR,Privado,Aeródromo do Canarinho,Sinop,MT,-11.906666666666666,-55.45611111111111,6.774913989705052,VFR Diurna,Cascalho,775,18,20.0
SILQ,Privado, Aeroleve Aeródromo Privado,Cascavel,PR,-24.92888888888889,-53.49611111111111,12.830998260385847,VFR Diurna,Grama,480,20,80.0
SIQI,Privado,Aerolis,Mostardas,RS,-30.53611111111111,-50.467222222222226,17.618051997109088,VFR Diurna,Grama,584,20,50.0
SWRQ,Privado,Aero Park,Teresina,PI,-5.060555555555555,-42.67444444444444,10.009524245301774,VFR Diurna,Piçarra,600,18,170.0
SIPJ,Privado,Aero Parque Tupã,Tupanciretã,RS,-29.085555555555555,-53.86555555555556,16.873345369268574,VFR Diurna,Grama,700,25,60.0
SJGH,Privado,Aeropel,São Borja,RS,-28.71638888888889,-55.9925,17.296513693712676,VFR Diurna,Grama,600,18,70.0
SWMZ,Privado,Aeroporto Agroer Aviação,Rondonópolis,MT,-16.441944444444445,-54.70194444444445,6.858202858666206,VFR Diurna,Cascalho,850,20,140.0
